Record ID,Whop Community,Question,Answer
9afce2bb-a774-4788-8163-0c17ea34a9be,NqClaw Trading FREE DISCORD,Q: What are your live trading hours?,Every Morning from 9:30am - 11:30am EST
9afce2bb-a774-4788-8163-0c17ea34a9be,NqClaw Trading FREE DISCORD,Do you trade Futures or Forex?,Futures $NQ u0026 $ES
9afce2bb-a774-4788-8163-0c17ea34a9be,NqClaw Trading FREE DISCORD,Do you take trades live on the stream?,Yes
15fc97ce-40ad-4b39-b7ad-e4c358927b60,BlackWhale Trading,What is included in the BlackWhale course?,A complete video course on trading analyses and access to a supportive Discord community.
15fc97ce-40ad-4b39-b7ad-e4c358927b60,BlackWhale Trading,How can I access the mentors?,You can connect with mentors through our premium Discord channel.
25e09883-af14-4263-bcfb-47e6140f4678,Alphafxglobal Community,What's your refund policy?,We do not offer refund after joining but you can always choose to cancel subscription for the next month.
25e09883-af14-4263-bcfb-47e6140f4678,Alphafxglobal Community,Is this a signals Room?,No but we will send before and after trades from time to time.
25e09883-af14-4263-bcfb-47e6140f4678,Alphafxglobal Community,What is the purpose of this club?,We offer Top class Trading Education and market analysis at a very low cost to facilitate almost anyone.
b27b9b1d-a1af-46f6-a28a-b5a1609f6d9f,Futures Traders 1to1,Combien de temps faut-il pour comprendre la méthode ?,Il faut prévoir 2 à 3 semaines pour la maitriser parfaitement !
b27b9b1d-a1af-46f6-a28a-b5a1609f6d9f,Futures Traders 1to1,Peut-on se faire rembourser si nous ne sommes pas satisfait ?,Hélas
b27b9b1d-a1af-46f6-a28a-b5a1609f6d9f,Futures Traders 1to1,Pourquoi trader les futures et pas les CFD ?,Les deux sont possibles
b27b9b1d-a1af-46f6-a28a-b5a1609f6d9f,Futures Traders 1to1,Est-ce cette méthode fonctionne sur le FOREX ?,Oui
66cc02e6-cf11-4a22-88ff-ed9597ea978c,Acecard Trading,How does AceCard Trading cater to both beginners and seasoned experts?,AceCard Trading provides an Advanced Course tailored to meet the needs of traders at all levels
66cc02e6-cf11-4a22-88ff-ed9597ea978c,Acecard Trading,What distinguishes AceCard's real-time Forex and Crypto trading signals from other signal providers?,AceCard offers real-time trading signals that empower traders to replicate the success of experienced traders
66cc02e6-cf11-4a22-88ff-ed9597ea978c,Acecard Trading,How does AceCard make accessing funded accounts affordable for its members?,AceCard provides access to passed funded accounts at a fraction of their original cost
1296407b-b7b4-426e-92eb-28f729c8f4ef,N2KETrading Mentorship,What is the refund policy for the mentorship program?,Get your money back if you are not satisfied after 6 months.
1296407b-b7b4-426e-92eb-28f729c8f4ef,N2KETrading Mentorship,How often can I book 1-to-1 calls?,You can book unlimited free 1-to-1 calls as often as you want.
3b37d661-e840-4a36-b2fa-7af9746fb264,TFX PREMIUM,What trading pairs are covered in the analysis?,We cover XAUUSD
3b37d661-e840-4a36-b2fa-7af9746fb264,TFX PREMIUM,How can I access the daily trading signals?,Join our private telegram groups to receive daily high-risk reward signals.
02e012be-c10d-4397-a69e-e286307181b0,FXA Trading Signals,What is your trading style?,Our strategy showed great results over the years. We use a mix of ICT
02e012be-c10d-4397-a69e-e286307181b0,FXA Trading Signals,What is your Win Rate and Risk to Reward?,Based on the past results
02e012be-c10d-4397-a69e-e286307181b0,FXA Trading Signals,Where can I see your past performance?,https://www.youtube.com/watch?v=93WKMK1dzcku0026t=1017s
02e012be-c10d-4397-a69e-e286307181b0,FXA Trading Signals,Where can I see more feedback for your channel?,https://t.me/FXAResults
ecf6c7bd-181a-400f-9d62-a12cd921b3ce,Raadtrades DayTrading,IS IT TRUSTED?,Yes I Changed My Life Following This Strategy
ecf6c7bd-181a-400f-9d62-a12cd921b3ce,Raadtrades DayTrading,IS IT 1 TIME PAYMENT?,Yes 1 Time Payment And You Will Get Lifetime Access To My Course
fe9e48c8-b313-4be8-93b3-24cd305d3a2d,ItsYodaTrades Spectator,What is included in the ItsYodaTrades Spectator pass?,Expert mentorship
